run,file,stage,stage_lp,iteration,bank,fourier_k,lp_A,voxels,pct_base
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,90,7,,5.0,332,0.21
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,90,8,,4.3,852,0.53
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,91,1,,19.7,68605,42.76
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,91,2,,15.1,47836,29.82
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,91,3,,12.2,19469,12.14
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,91,4,,9.8,12354,7.7
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,91,5,,8.0,9791,6.1
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,91,6,,6.0,1032,0.64
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,91,7,,5.0,494,0.31
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,91,8,,4.3,847,0.53
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,92,1,,19.7,70764,44.13
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,92,2,,15.1,45117,28.14
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,92,3,,12.2,20729,12.93
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,92,4,,9.8,11698,7.3
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,92,5,,8.0,9807,6.12
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,92,6,,6.0,1192,0.74
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,92,7,,5.0,290,0.18
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,92,8,,4.3,751,0.47
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,93,1,,19.7,70037,43.72
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,93,2,,15.1,47233,29.48
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,93,3,,12.2,19867,12.4
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,93,4,,9.8,11158,6.97
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,93,5,,8.0,9703,6.06
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,93,6,,6.0,1105,0.69
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,93,7,,5.0,412,0.26
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,93,8,,4.3,680,0.42
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,94,1,,19.7,70023,43.48
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,94,2,,15.1,45892,28.5
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,94,3,,12.2,20367,12.65
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,94,4,,9.8,12090,7.51
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,94,5,,8.0,10259,6.37
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,94,6,,6.0,1388,0.86
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,94,7,,5.0,277,0.17
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,94,8,,4.3,739,0.46
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,95,1,,19.7,70828,44.16
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,95,2,,15.1,45561,28.4
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,95,3,,12.2,20008,12.47
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,95,4,,9.8,11835,7.38
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,95,5,,8.0,9908,6.18
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,95,6,,6.0,1451,0.9
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,95,7,,5.0,113,0.07
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,95,8,,4.3,700,0.44
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,96,1,,19.7,67912,42.24
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,96,2,,15.1,48050,29.89
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,96,3,,12.2,20202,12.57
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,96,4,,9.8,12082,7.52
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,96,5,,8.0,9938,6.18
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,96,6,,6.0,1460,0.91
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,96,7,,5.0,219,0.14
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,96,8,,4.3,900,0.56
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,97,1,,19.7,70887,44.2
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,97,2,,15.1,44560,27.79
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,97,3,,12.2,20418,12.73
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,97,4,,9.8,12373,7.72
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,97,5,,8.0,9774,6.09
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,97,6,,6.0,1562,0.97
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,97,7,,5.0,164,0.1
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,97,8,,4.3,625,0.39
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,98,1,,19.7,70039,43.66
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,98,2,,15.1,47209,29.43
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,98,3,,12.2,19235,11.99
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,98,4,,9.8,11409,7.11
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,98,5,,8.0,10082,6.29
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,98,6,,6.0,1705,1.06
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,98,7,,5.0,34,0.02
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,98,8,,4.3,697,0.43
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,99,1,,19.7,71317,44.39
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,99,2,,15.1,46278,28.81
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,99,3,,12.2,19076,11.87
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,99,4,,9.8,11407,7.1
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,99,5,,8.0,10421,6.49
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,99,6,,6.0,1466,0.91
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,99,7,,5.0,84,0.05
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,99,8,,4.3,593,0.37
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,100,1,,19.7,84572,43.03
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,100,2,,15.1,57192,29.1
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,100,3,,12.2,23917,12.17
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,100,4,,9.8,14259,7.25
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,100,5,,8.0,13654,6.95
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,100,6,,6.0,2928,1.49
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,100,7,,5.0,31,0.02
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,100,8,,4.0,6,0.0
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,101,1,,19.7,85080,43.57
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,101,2,,15.1,55748,28.55
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,101,3,,12.2,23990,12.29
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,101,4,,9.8,14545,7.45
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,101,5,,8.0,13049,6.68
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,101,6,,6.0,2580,1.32
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,101,7,,5.0,45,0.02
